Draw No,Draw Date,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Ball 6,Bonus Ball,Div1,Div2,Div3,Div4,Div5,Div6,Div7,Div1 No Win,Div2 No Win,Div3 No Win,Div4 No Win,Div5 No Win,Div6 No Win,Div7 No Win,Prize Payable,Rollover,Rollover Count,Next Estimated Jackpot,Next Guaranteed Jackpot,Total Sales,Draw Machine,Ball Set
1017,2010/09/18,25,23,11,46,27,47,26,0,188488,6834,1341,143,71,10.5,0,3,75,323,3940,7914,73797,3411339.5,0,0,1000000,0,6834460,Mandlakazi,45
1016,2010/09/15,11,45,4,14,38,47,33,0,437265,10713,2393,154,102,10.5,0,1,37,140,2827,4262,52353,2588454.5,0,0,1000000,0,5186002,Dimakatso,43
1015,2010/09/11,2,27,26,32,46,23,18,0,297214,9622,2883,194,115,10.5,0,2,56,158,3049,5147,64634,3450842,0,0,1000000,0,6912729,Mandlakazi,28
1014,2010/09/08,42,25,1,32,7,47,34,908423,0,4616,1814,98,89,10.5,1,0,60,119,3214,3544,56911,2629202.5,0,0,1000000,0,5268777,Mandlakazi,34
1013,2010/09/04,13,10,39,23,2,19,21,0,192901,4769,1945,111,91,10.5,0,3,110,228,5204,6308,87591,3618130.5,0,0,1000000,0,7247866,Mandlakazi,44
1012,2010/09/01,8,22,41,3,24,45,42,0,0,11846,4217,209,154,10.5,0,0,47,116,2868,3901,57240,2847120,0,0,1000000,0,5701239,Mandlakazi,45
1011,2010/08/28,7,47,37,17,15,14,29,0,57166,1945,1025,80,79,10.5,0,14,373,598,9906,10050,121883,5004960.5,0,0,1000000,0,10039254,Dimakatso,29
1010,2010/08/25,42,45,44,37,18,23,7,0,429586,5991,1870,143,88,10.5,0,1,65,176,2987,4866,58489,2617604.5,0,0,1000000,0,5243095,Mandlakazi,51
1009,2010/08/21,49,3,9,23,19,39,11,504835,78129,1528,477,50,37,10.5,2,4,173,403,6154,8226,77711,3206788.5,0,0,1000000,0,6439887,Dimakatso,33
1008,2010/08/18,7,22,12,46,14,35,9,0,199500,6028,2591,129,98,10.5,0,2,60,118,3079,4068,55636,2446451,0,0,1000000,0,4897338,Dimakatso,45
1007,2010/08/14,15,22,24,31,33,36,35,1160621,179620,4676,973,89,56,10.5,1,2,65,227,4022,6407,74726,3546045,0,0,1000000,0,7096015,Mandlakazi,39
1006,2010/08/11,8,34,35,46,18,38,7,0,414007,7217,1958,155,118,10.5,0,1,52,162,2671,3488,50373,2460992.5,0,0,1000000,0,4927060,Mooinooi,54
1005,2010/08/07,32,31,17,42,49,16,2,0,300605,9237,2258,161,113,10.5,0,2,59,204,3730,5304,71318,3555546,0,0,1000000,0,7116481,Mandlakazi,43
1004,2010/08/04,1,29,35,43,34,31,46,0,494000,12795,3902,166,143,10.5,0,1,35,97,2961,3449,54512,2877428,0,0,1000000,0,5761581,Mooinooi,49
1003,2010/07/31,46,20,49,22,17,25,41,0,0,13873,4116,237,166,10.5,0,0,78,231,4928,7025,101830,5436191,0,0,1000000,0,10882981,Mandlakazi,34
1002,2010/07/28,27,45,23,10,11,17,31,0,430326,4106,1802,114,91,10.5,0,1,95,183,3768,4698,68420,2725642,0,0,1000000,0,5458560,Dimakatso,37
1001,2010/07/24,43,41,30,1,7,47,2,0,637725,7411,3567,171,124,10.5,0,1,78,137,3723,5123,75065,3764529.5,0,0,1000000,0,7536415,Dimakatso,43
1000,2010/07/21,47,29,27,22,24,48,3,0,433970,10632,2639,166,127,10.5,0,1,37,126,2602,3413,48174,2531078,0,0,1000000,0,5067457,Mooinooi,32
999,2010/07/17,43,7,44,48,24,18,36,0,562999,7617,1805,125,90,10.5,0,1,67,239,4480,6254,86081,3531443.5,0,0,1000000,0,7069381.5,Dimakatso,34
998,2010/07/14,9,41,49,35,20,29,38,893490,0,5796,1830,117,94,10.5,1,0,47,116,2665,3323,51205,2540001.5,0,0,1000000,0,5081988,Mandlakazi,54
997,2010/07/10,15,29,35,44,25,26,20,0,338462,8766,2161,140,94,10.5,0,2,70,240,4827,7173,90088,4105150,0,0,1000000,0,8218248,Mandlakazi,55
996,2010/07/07,25,11,44,26,1,22,4,0,102960,5907,1276,110,57,10.5,0,5,79,309,4680,8956,71667,3153532.5,0,0,1000000,0,6316251,Mooinooi,50
995,2010/07/03,26,5,43,42,35,6,10,0,375510,7018,2640,158,115,10.5,0,2,97,218,4753,6509,87630,4426910,0,0,1000000,0,8859121,Dimakatso,52
994,2010/06/30,44,9,36,8,16,29,35,0,100026,3570,1906,115,83,10.5,0,5,127,201,4335,5971,72886,3096047,0,0,1000000,0,6204756,Mandlakazi,45
993,2010/06/26,4,35,34,24,37,20,21,0,0,13386,3852,223,155,10.5,0,0,56,171,3619,5205,73486,3793723,0,0,1000000,0,7600785,Mandlakazi,43
992,2010/06/23,46,24,49,41,26,37,48,0,0,13274,3613,207,125,10.5,0,0,35,113,2420,3986,43035,2323916.5,0,0,1000000,0,4658020,Mandlakazi,49
991,2010/06/19,4,22,48,21,41,43,11,1103386,170762,4249,1229,97,56,10.5,1,2,68,171,3490,6002,64491,3295798.5,0,0,1000000,0,6608532,Dimakatso,34
990,2010/06/16,47,39,13,21,6,45,36,0,370306,7459,2728,165,126,10.5,0,1,45,104,2237,2930,43146,2180991,0,0,1000000,0,4366873,Mooinooi,37
989,2010/06/12,16,25,21,39,24,45,4,0,596813,8726,2913,181,129,10.5,0,1,62,157,3295,4610,66209,3481445.5,0,0,1000000,0,6968085,Dimakatso,32
988,2010/06/09,42,45,28,14,27,13,3,0,148637,8084,2096,152,98,10.5,0,3,50,163,2930,4538,56322,2673224,0,0,1000000,0,5350165,Mooinooi,48
987,2010/06/05,9,4,5,15,29,26,16,899658,92821,3295,968,74,52,10.5,2,6,143,354,7462,10647,134320,5686291,0,0,1000000,0,11388898,Mooinooi,27
986,2010/06/02,43,35,44,15,1,34,10,0,255829,11313,2883,171,124,10.5,0,2,41,136,2984,4098,55468,2968409,0,0,1000000,0,5946694,Mooinooi,41
985,2010/05/29,48,21,25,5,34,10,39,0,0,9524,3988,183,157,10.5,0,0,81,170,4545,5295,88394,4040591,0,0,1000000,0,8090436,Dimakatso,29
984,2010/05/26,32,21,48,26,10,36,44,0,469620,9255,2415,181,124,10.5,0,1,46,149,2584,3778,51521,2732331.5,0,0,1000000,0,5470920,Mooinooi,38
983,2010/05/22,21,22,47,17,48,43,23,0,566130,6579,2085,163,110,10.5,0,1,78,208,3455,5140,68237,3358025.5,0,0,1000000,0,6723919,Mooinooi,52
982,2010/05/19,40,20,26,30,18,42,5,407421,126106,1301,739,62,48,10.5,2,2,164,210,4035,5167,59000,2553294,0,0,1000000,0,5119200,Mandlakazi,33
981,2010/05/15,2,11,9,41,17,8,35,0,0,6516,2922,131,123,10.5,0,0,99,194,5320,5632,95033,3599454.5,0,0,1000000,0,7209147,Mandlakazi,28
980,2010/05/12,42,1,14,3,26,11,5,0,222383,6017,1803,136,63,10.5,0,2,67,189,3261,6985,60510,2707578,0,0,1000000,0,5427420,Dimakatso,27
979,2010/05/08,1,38,30,17,27,8,25,0,207674,4063,1865,122,103,10.5,0,3,139,256,5099,6035,86690,3819147,0,0,1000000,0,7643142,Dimakatso,32
978,2010/05/05,46,5,41,47,38,27,33,0,0,10795,3342,210,145,10.5,0,0,62,176,3435,4960,67964,3411654,0,0,1000000,0,6836040,Mooinooi,41
977,2010/05/01,30,4,23,42,10,40,12,1796733,278065,3290,834,77,52,10.5,1,2,143,410,7133,10662,126245,5594510.5,0,0,1000000,0,11207019,Mooinooi,52
976,2010/04/28,31,40,42,48,18,44,22,870073,134654,3079,925,69,65,10.5,1,2,74,179,3880,4109,57511,2671472.5,0,0,1000000,0,5350939,Mooinooi,34
975,2010/04/24,27,48,4,5,49,42,37,610576,377976,4773,1401,94,71,10.5,2,1,67,166,4008,5314,80379,3749510.5,0,0,1000000,0,7502976,Mandlakazi,39
974,2010/04/21,12,41,37,2,15,43,1,0,454235,7769,2740,190,138,10.5,0,1,53,127,2380,3269,49038,2632193,0,0,1000000,0,5274993,Mandlakazi,49
973,2010/04/17,2,11,27,28,1,48,16,0,306906,5919,2167,137,92,10.5,0,2,94,217,4466,6644,82399,3728716.5,0,0,1000000,0,7466958,Mooinooi,55
972,2010/04/14,45,6,17,46,8,24,12,0,451391,8706,2506,164,105,10.5,0,1,47,138,2740,4275,54234,2674093,0,0,1000000,0,5357527,Dimakatso,55
971,2010/04/10,41,14,35,31,16,44,27,1242205,96123,2904,981,89,57,10.5,1,4,112,241,4285,6717,75760,3748080,0,0,1000000,0,7506223,Mandlakazi,47
970,2010/04/07,19,4,35,27,6,41,1,1099521,170164,2716,974,78,62,10.5,1,2,106,215,4325,5475,73633,3387101.5,0,0,1000000,0,6782110,Dimakatso,40
969,2010/04/03,23,49,42,32,40,6,3,0,171661,5412,2104,134,108,10.5,0,4,115,250,5123,6322,87233,4120228.5,0,0,1000000,0,8249134,Mooinooi,41
968,2010/03/31,23,41,8,32,46,44,29,1084935,335813,2514,1038,74,64,10.5,1,1,113,199,4491,5184,72475,3336489.5,0,0,1000000,0,6688335,Mooinooi,52
967,2010/03/27,20,26,18,31,45,48,43,1900880,294183,5185,1361,103,70,10.5,1,2,96,266,5666,8297,108065,5648102.5,0,0,1000000,0,11321175,Mandlakazi,33
966,2010/03/24,36,42,17,29,34,30,31,0,0,10713,3937,198,146,10.5,0,0,46,110,2690,3648,51449,2531310.5,0,0,1000000,0,5062752,Mooinooi,48
965,2010/03/20,7,10,49,19,30,13,42,0,579280,5148,2144,101,93,10.5,0,1,102,207,5732,6170,95461,3703266.5,0,0,1000000,0,7418518,Mandlakazi,52
964,2010/03/17,43,2,34,39,17,38,25,0,235589,7766,2423,169,120,10.5,0,2,55,149,2787,3896,54467,2769761.5,0,0,1000000,0,5547348,Dimakatso,28
